date,bch btc,bch price,bch bitcoin,bch usd,wbnb coin,wbnb to bnb,wbnb price,wbnb crypto,eth btc,eth to usd,eth price,eth usd,xlm price,xlm coin,stellar xlm,stellar,c98 coin,c98 price,c98 binance,c98 crypto,coin jasmy,jasmy price,jasmy crypto,jasmy coin price,avax coin,avax yorum,avax price,avax coin yorum,shib coin,shib price,shib coin price,shib crypto,usd krw,usd to krw,krw sgd,currency krw,xrp price,xrp news,ripple xrp,ripple,dydx coin,dydx crypto,dydx token,dydx price,zec usd,zec coin,zec price,zcash,snx coin,snx price,snx stock,snx crypto,chz coin,chz yorum,chz coin yorum,chz binance,bsv bitcoin,bsv coin,bsv price,bsv stock,qtum coin,qtum price,crypto qtum,crypto,enj coin,enj price,enj crypto,enj coin price,usd btc,btc binance,btc to usd,btc price,doge coin,doge price,dogecoin,doge yorum,ltc usd,ltc btc,ltc price,usd to ltc,curve dao token,curve token,curve dao price,curve dao coin,algorand,algorand price,algorand coin,crypto algorand,SXP crypto,sxp crypto price,sxp price,sxp coin, bitcoin gold,btg price,btg crypto price,btg coin,knc price,knc crypto price,knc coin,knc crypto prediction,people crypto,people crypto price,people coin,ConstitutionDAO, DOT crypto,crypto polka dot,dot crypto price,dot price,MANA crypto,mana crypto price,mana price,mana coin,RUNE crypto,rune price,rune coin,thorchain,gala price,gala coin,gala crypto coin,GALA crypto, NEO crypto,neo crypto price,neo price,neo coin, ZIL crypto,zil crypto price,zil price,zil coin,XTZ crypto,XTZ price,xtz crypto price,xtz price prediction,THETA crypto,theta crypto price,theta price,theta coin, LINK crypto,crypto link price,link price,chain link crypto,WIN crypto,win crypto price,win price,win coin,SUSHI crypto,sushi crypto price,sushi price,sushi coin, WBTC crypto,wbtc price,wbtc vs btc,Wrapped Bitcoin, BNB crypto,bnb coin,bnb binance,crypto bnb price,tron trx,tron crypto,tron,tron trx crypto,kava crypto price,kava price,kava coin,kava crypto price prediction,matic price,matic crypto price,matic polygon crypto,polygon matic,omg crypto price,omg price,omg coin,omg crypto coin,beta finance crypto,beta finance,beta crypto price,beta coin,bat crypto price,bat price,bat coin,bat crypto prediction,alice crypto price,alice price,alice coin,alice coin crypto,fil crypto price,fil price,fil coin,fil crypto price prediction,ada price crypto,ada price,ada cardano crypto,ada cardano,powr crypto price,powr price,powr coin,power ledger,axs crypto price,axs price,axs coin,axs crypto prediction,waves coin,waves crypto price,waves price,waves cryptocurrency,eos crypto price,eos price,eos coin,eos crypto coin,lrc crypto price,lrc price,lrc coin,lrc crypto price prediction,ftm crypto price,ftm price,ftm coin,ftm fantom,ksm crypto price,ksm price,ksm coin,kusama crypto,MIR crypto,mir crypto price,mir coin,mir protocol, KLAY coin,klay coin price,klay coin yorum,klay coin binance, ATOM crypto,atom crypto price,atom price,cosmos crypto,UNI crypto,uni crypto price,uni price,uni coin, CAKE crypto,cake crypto price,cake price,cake crypto coin,SUN crypto,sun crypto price,sun crypto coin,sun coin, VET crypto,vet crypto price,vet price,vet crypto prediction,SOL crypto,sol crypto price,sol price,solana crypto, REQ crypto,req crypto price,req price,req coin, ANC coin, ANC crypto,anc coin price,anchor coin, ENS crypto,ens crypto price,ens price,ens coin,ETC crypto,etc price,etc crypto price,etc crypto prediction,WETH crypto,weth crypto price,weth price,weth to eth,near crypto price, NEAR crypto,near protocol,near coin,ZRX crypto,zrx crypto price,zrx price,zrx coin,RSR crypto,rsr crypto price,rsr price,rsr coin,LUNA crypto,terra luna crypto,terra luna,luna crypto price, MKR crypto,mkr crypto price,mkr price,mkr coin,TRY crypto,usd try,try coin,try coin yorum, DASH crypto,dash crypto price,dash price,dash coin, SAND crypto,sand crypto price,sand price,sand coin,XMR crypto,monero,monero crypto,monero xmr,AAVE crypto,aave crypto price,aave price,aave coin,JST coin,JST crypto,jst coin price,just coin,DAR crypto,dar crypto price,dar coin,dalarnia crypto,REP crypto,rep coin,augur rep,augur crypto, ICP crypto,icp crypto price,icp price,icp crypto prediction
2015-01-04,0,51,0,0,,,,,0,0,0,0,0,0,0,44,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,45,38,9,14,1,0,2,75,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,72,0.0,0.0,0.0,0.0,86,0,76,19,2,2,100,0,23,23,0,23,0,0,0,0,,,,,0,0,91,0,46,0,0,0,0,0,0,0,0,0,96,0,0,0,0,49,0,0,29,0,0,12,0,0,4,13,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,56,0,0,0,54,4,0,0,63,4,0.0,0.0,0.0,0.0,0,21,0,0,0,0,60,0,0,0,0,0,44,0,0,0,0,0,0,0,0,7,0,7,0,12,4,0,0,5,14,0,0,13,65,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,5,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,10,10,0,0,75,0,0,0,0,31,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,4,38,0,0,0,100,0,0,0,0,0,0,35,0,0,0,0,0,0,26,0,0,0,0,57,8,0,0,51,5,0,19,0,0,0,0,0,0,0,0,0,43,0,0,40,0,0,0,0,0,0,0,0,0
2015-01-11,0,0,0,0,,,,,0,0,49,0,0,0,0,49,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,39,27,11,14,0,0,1,69,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64,0.0,0.0,0.0,0.0,59,0,50,3,9,0,67,0,0,0,0,0,0,56,0,0,,,,,0,0,0,0,45,0,0,0,0,0,0,0,0,0,37,0,0,0,0,42,0,0,28,0,0,23,0,0,4,16,0,0,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,26,10,0,0,28,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,45,0,0,0,0,0,43,0,0,0,0,0,14,0,0,21,0,14,0,76,4,0,0,19,23,0,0,31,82,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,60,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,20,0,0,0,64,0,0,0,0,20,0,0,36,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,48,0,0,20,0,0,0,0,0,0,14,0,0,0,0,23,23,0,0,60,0,0,61,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,0,0,0,0,0
2015-01-18,0,0,0,0,,,,,0,0,0,0,0,0,0,42,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,46,32,14,25,0,0,0,69,,,,,0,0,0,0,0,38,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,69,0.0,0.0,0.0,0.0,53,0,45,20,4,6,62,0,23,22,0,22,0,0,0,0,,,,,0,0,0,0,56,0,0,0,0,0,0,0,0,0,19,0,0,0,0,48,0,0,0,14,0,35,0,0,20,21,0,0,0,0,38,1,0,0,0,0,0,29,0,0,0,0,100,0,0,0,65,0,0,0,62,14,0,0,41,4,0.0,0.0,0.0,0.0,0,41,0,0,0,0,51,0,0,56,0,0,29,0,0,0,0,28,57,0,0,7,0,21,0,40,4,0,0,14,38,0,0,13,32,0,0,33,0,0,0,0,0,0,0,59,0,0,0,0,13,0,0,65,7,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,100,0,0,0,56,0,0,0,0,70,0,0,36,0,0,0,36,0,0,0,0,0,0,0,0,0,51,0,0,0,0,32,0,0,0,0,0,0,0,0,4,56,0,0,0,97,0,0,0,0,0,0,23,0,0,0,0,0,2,18,0,0,0,0,47,8,0,0,60,0,0,37,0,0,0,0,0,0,11,0,0,42,0,0,39,0,0,23,0,0,0,0,0,0
2015-01-25,0,0,0,0,,,,,0,49,0,49,0,0,0,47,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,57,50,14,18,1,0,1,64,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64,0.0,0.0,0.0,0.0,65,0,47,9,5,2,67,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,62,0,0,0,0,66,0,0,42,14,0,70,0,0,8,16,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,62,6,0,0,37,12,0.0,0.0,0.0,0.0,0,0,0,0,0,0,50,0,0,0,59,0,0,0,0,0,0,0,29,0,0,0,0,21,0,20,0,0,0,19,38,0,0,31,38,0,0,22,0,0,0,0,0,34,0,0,0,0,0,0,13,0,0,69,5,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,98,0,0,0,0,0,24,0,0,0,20,10,0,0,57,0,0,0,0,20,0,0,24,0,0,0,9,0,0,0,81,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,38,2,0,8,0,31,16,0,0,45,0,0,49,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,0,0,0,,,,,0,0,0,0,0,0,0,37,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,44,38,11,15,1,0,1,71,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,52,0.0,0.0,0.0,0.0,68,0,58,15,7,0,50,0,0,22,0,0,0,0,0,0,,,,,0,0,85,0,65,0,0,0,0,0,0,0,6,0,84,0,0,0,0,41,0,0,14,14,0,34,0,0,8,40,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,57,23,0,0,36,12,0.0,0.0,0.0,0.0,0,20,0,0,0,0,47,0,0,0,0,0,28,0,0,0,0,14,28,0,0,34,0,0,0,58,12,0,0,14,32,0,0,6,37,0,0,32,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,26,0,0,0,10,0,0,0,61,0,0,0,0,48,0,0,46,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,35,2,0,0,0,38,30,0,0,29,10,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
2015-02-08,0,0,0,0,,,,,0,0,0,0,0,0,0,44,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,59,50,20,23,1,0,1,71,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,59,0.0,0.0,0.0,0.0,43,0,34,8,9,0,56,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,56,0,0,0,0,72,0,0,0,14,0,35,0,0,4,12,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,84,8,0,0,45,4,0.0,95.0,0.0,0.0,0,0,0,0,0,0,40,0,0,0,0,0,43,0,0,0,0,14,71,0,0,35,0,7,0,48,4,0,0,5,51,0,0,6,44,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,55,5,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,16,0,0,0,10,5,0,0,91,0,0,0,0,10,0,0,24,0,0,0,27,0,0,0,0,0,50,0,0,0,0,0,100,0,0,31,0,0,0,0,0,0,0,0,0,59,0,0,0,96,0,0,0,0,0,0,34,0,0,0,0,0,0,30,2,0,0,0,47,0,0,0,30,0,0,37,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-15,0,0,0,0,,,,,0,0,0,0,0,0,0,34,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,47,45,7,19,0,0,1,76,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,59,0.0,0.0,0.0,0.0,57,0,43,14,5,2,61,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,32,0,0,0,0,31,0,0,100,0,0,36,0,0,8,21,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,37,4,0,0,75,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,36,0,0,0,0,0,29,0,0,0,0,14,73,0,0,29,0,14,0,29,4,0,0,19,48,0,0,6,58,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,64,10,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,19,0,0,0,20,0,0,0,66,0,0,0,0,31,0,0,49,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,33,0,0,0,0,40,24,5,0,41,0,0,19,0,0,0,0,0,0,0,0,0,43,0,0,40,0,0,24,0,0,0,0,0,0
2015-02-22,0,0,0,0,,,,,0,49,49,49,0,0,0,42,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,41,37,11,27,0,0,0,70,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,38,0.0,100.0,0.0,0.0,49,0,45,11,5,0,75,0,0,22,0,22,0,0,0,0,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,19,0,0,0,0,48,0,0,14,14,0,58,0,0,12,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,42,8,0,0,77,8,0.0,0.0,0.0,0.0,0,41,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,14,0,0,21,0,28,0,32,4,0,0,23,47,0,0,25,57,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,25,5,0,0,74,0,0,0,0,69,0,0,59,0,0,0,18,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,97,96,0,0,0,0,0,0,39,0,0,0,63,0,0,32,0,0,0,0,31,8,0,0,64,5,0,73,0,6,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,,,,,0,0,0,0,0,0,0,43,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,39,33,7,15,0,0,0,64,,,,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,72,0.0,0.0,0.0,0.0,37,0,31,3,3,4,59,0,0,42,23,21,0,0,0,0,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,30,0,0,0,0,11,0,0,40,13,0,11,0,0,15,16,0,0,0,0,31,0,0,0,0,0,0,54,0,0,0,0,32,0,0,0,57,0,0,0,42,8,0,0,59,8,0.0,0.0,0.0,0.0,0,39,0,0,0,0,43,0,0,0,0,0,14,0,0,0,0,0,0,0,0,40,0,27,0,73,4,0,0,14,63,0,0,24,66,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,78,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,5,0,0,55,0,0,0,0,29,0,0,68,0,9,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,71,0,0,0,0,0,0,46,0,0,0,35,0,0,0,30,0,0,15,0,0,0,0,60,7,0,0,43,5,0,41,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-08,0,0,0,0,,,,,0,0,0,0,0,0,0,41,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,59,53,7,25,1,0,0,77,,,,,0,0,0,40,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,63,0.0,0.0,0.0,0.0,51,0,47,3,4,2,44,0,23,89,0,22,0,0,0,0,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,56,0,0,0,0,12,0,0,56,0,0,82,0,0,16,20,0,0,0,0,46,1,0,0,98,0,0,28,0,0,0,0,0,0,0,0,62,0,2,0,46,2,0,0,73,8,0.0,0.0,0.0,0.0,0,21,0,0,0,0,43,0,0,56,0,0,14,0,0,0,0,0,14,0,0,42,0,14,0,60,4,0,0,24,56,0,0,6,38,0,0,22,0,0,0,0,0,34,0,0,0,0,0,0,13,0,0,81,5,0,0,0,0,0,0,0,58,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,67,0,0,0,0,40,0,0,36,0,0,0,36,0,0,0,40,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,4,0,60,0,0,97,0,0,0,0,0,0,0,17,0,0,0,0,0,0,27,2,0,0,0,47,8,0,0,35,0,0,55,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
